id_prueba,sitio,url_web,url_facebook,municipio,estado,pais,tipo_fuente,enlace_valido,categoria_raiz,subcategoria,tipo_especifico,duplicado,pagina_activa,agregado_por,estado_validacion,observaciones
73,Lupita Rmz Plaza,NA,https://www.facebook.com/LupitaRPlaza/,Pinal de Amoles,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
74,ADN Informativo Querétaro ,http://www.adninformativo.com/,https://www.facebook.com/ADNQro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
75,Desde El Marqués ,http://www.circulonoticias.com/,https://www.facebook.com/DesdeElMarques/about,El Marqués,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
76,Secretaria de DesarrolloSocial Queretaro ,http://www.queretaro.gob.mx/,https://www.facebook.com/Sedesoq/about,Querétaro,Querétaro,México,Oficial,Sí,Organizaciones y Sociedad Civil,Asociación Civil,Apoyo Social,No,Sí,Mauricio,Aprobado,ninguna
77,Queretanews ,https://queretanews.com/,https://www.facebook.com/Queretanews,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
78,Conciencia Querétaro ,NA,https://www.facebook.com/QueretanoActivo/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
79,Noticias y Política de San Juan ,NA,https://www.facebook.com/profile.php?id=61581336364050a,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,,,Pendiente,Pendiente,Mauricio,Enlace inválido,Enlace no valido
80,Actores y escenarios ,NA,https://www.facebook.com/profile.php?id=61581336364050a,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,,,Pendiente,Pendiente,Mauricio,Enlace inválido,Enlace no valido
81,Premier Noticias Querétaro ,https://www.premiernoticiasqro.com/,https://www.facebook.com/Queretaronoticia/about,San Juan del Río,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
82,Canal 10 Chichimequillas Noticias ,https://www.canal10chichimequillas.com/,https://www.facebook.com/Canal10ChichimequillasNews/about,El Marqués,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
83,Secretaría de Seguridad Pública Municipal de El Marqués ,http://www.elmarques.gob.mx/,https://www.facebook.com/SSPyTMElMarques/about,El Marqués,Querétaro,México,Medio,Sí,Gobierno,Seguridad Pública,Secretaría de Seguridad Pública,No,Sí,Mauricio,Aprobado,ninguna
84,Pensador Queretano ,    http://pensadorqueretano.com/,https://www.facebook.com/pensadorqueretano/about,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Periodista Independiente,No,Sí,Mauricio,Aprobado,ninguna
85,Voz Y Testimonio Oficial ,http://vozytestimimonio.com/,https://www.facebook.com/VozyTestimonioOficial,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Periodista Independiente,No,Sí,Mauricio,Aprobado,ninguna
86,RadarNews Qro,http://www.radarnews.mx/,https://www.facebook.com/radarnews1075/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
87,CódigoQro,https://s.mtrbio.com/codigoqro,https://www.facebook.com/CodigoQro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Periódico,Híbrido,No,Sí,Mauricio,Aprobado,ninguna
88,24 Querétaro Noticias ,https://24queretaronoticias.com/,https://www.facebook.com/24NoticiasQueretaro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
89,Asícede Querétaro ,http://www.asisucedequeretaro.mx/,https://www.facebook.com/AsiSucedeQro/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
90,Despierta Tequis ,NA,https://www.facebook.com/DespiertaTequis/about,Tequisquiapan,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
91,Noticias Tolimán Oficial ,http://WwwNoticiastoliman.com.gt/,https://www.facebook.com/profile.php?id=61561587265883&sk=about,Tolimán,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
